Season,Home,Away,Week,Team_Possesion,Field_Position,Quarter,To_go,Time_left_Qtr,Penalty_on,Penalty,Penalty_Yards,game_type
2009,NE,BUF,1,BUF,BUF 43,Q1,3 and 7,12:51,BUF,Illegal Formation,5,REG
2009,NE,BUF,1,NE,NE 30,Q1,2 and 8,11:38,NE,False Start,5,REG
2009,NE,BUF,1,NE,NE 45,Q1,1 and 10,9:51,BUF,Defensive Holding,5,REG
2009,NE,BUF,1,BUF,BUF 48,Q1,1 and 10,5:34,NE,Encroachment,5,REG
2009,NE,BUF,1,BUF,NE 43,Q1,2 and 1,5:03,BUF,False Start,6,REG
2009,NE,BUF,1,NE,NE 26,Q1,4 and 16,1:37,BUF,Illegal Blindside Block,10,REG
2009,NE,BUF,1,NE,NE 28,Q2,1 and 10,13:34,NE,Tripping,10,REG
2009,NE,BUF,1,BUF,BUF 40,Q2,2 and 7,4:59,BUF,Illegal Formation,5,REG
2009,NE,BUF,1,NE,BUF 35,Q2,1 and 10,1:55,NE,False Start,5,REG
2009,NE,BUF,1,BUF,BUF 21,Q3,1 and 10,14:54,BUF,Offensive Holding,10,REG
2009,NE,BUF,1,BUF,BUF 11,Q3,1 and 20,14:35,NE,Roughing the Passer,15,REG
2009,NE,BUF,1,BUF,BUF 41,Q3,2 and 10,13:50,BUF,False Start,5,REG
2009,NE,BUF,1,NE,NE 30,Q3,2 and 3,1:41,BUF,Unnecessary Roughness,15,REG
2009,NE,BUF,1,BUF,BUF 43,Q4,3 and 5,10:50,BUF,Offensive Pass Interference,10,REG
2009,NE,BUF,1,BUF,NE 26,Q4,1 and 10,7:39,NE,Roughing the Passer,15,REG
2009,NYJ,NE,2,NE,NE 36,Q1,2 and 7,13:52,NYJ,Defensive 12 On-field,6,REG
2009,NYJ,NE,2,NYJ,NYJ 4,Q1,3 and 26,10:25,NYJ,False Start,2,REG
2009,NYJ,NE,2,NE,NYJ 17,Q1,1 and 10,8:36,NE,Offensive Holding,10,REG
2009,NYJ,NE,2,NE,NYJ 27,Q1,2 and 20,8:02,NE,Offensive Holding,10,REG
2009,NYJ,NE,2,NE,NE 40,Q2,1 and 10,15:00,NYJ,Personal Foul,15,REG
2009,NYJ,NE,2,NE,NYJ 41,Q2,3 and 6,13:55,NYJ,Illegal Contact,5,REG
2009,NYJ,NE,2,NE,NYJ 36,Q2,2 and 10,13:42,NE,Delay of Game,5,REG
2009,NYJ,NE,2,NYJ,NYJ 30,Q2,,,NE,Offensive Holding,9,REG
2009,NYJ,NE,2,NE,NE 31,Q2,3 and 1,3:40,NE,Illegal Formation,5,REG
2009,NYJ,NE,2,NYJ,NYJ 24,Q2,1 and 10,:10,NYJ,False Start,5,REG
2009,NYJ,NE,2,NE,NYJ 35,Q3,3 and 9,4:19,NE,Delay of Game,5,REG
2009,NYJ,NE,2,NE,NYJ 40,Q3,3 and 14,4:19,NE,Delay of Game,5,REG
2009,NYJ,NE,2,NE,NYJ 45,Q3,4 and 19,3:26,NE,Face Mask (15 Yards),15,REG
2009,NYJ,NE,2,NYJ,NYJ 15,Q3,1 and 10,3:09,NYJ,Offensive Holding,7,REG
2009,NYJ,NE,2,NE,NE 24,Q4,3 and 1,8:58,NYJ,Encroachment,5,REG
2009,NYJ,NE,2,NE,NE 37,Q4,4 and 2,7:05,NE,Delay of Game,5,REG
2009,NYJ,NE,2,NE,NE 35,Q4,1 and 10,4:41,NE,Offensive Holding,10,REG
2009,NYJ,NE,2,NE,NE 34,Q4,4 and 11,3:49,NYJ,Offensive Holding,10,REG
