season,home,away,week,score_home,score_away,winner,loser,team_possesion,field_position,field_team,field_yards,yards_to_td,quarter,to_go,time_left_qtr,penalty_on,penalty,penalty_yards,full_description,game_type,team_possesion_cat,team_penalty_cat,penalty_side,opportunity,yards_to_go
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 43,BUF,43,57,Q1,3 and 7,12:51,BUF,Illegal Formation,5,"(BUF, BUF 43, Q1, 3 and 7) (12:51) (Shotgun) T.Edwards pass deep middle to J.Reed to NE 36 for 21 yards (B.Meriweather, J.Wilhite). PENALTY on BUF-D.Bell, Illegal Formation, 5 yards, enforced at BUF 43 - No Play.",REG,Opponent,Opponent,Offensive Penalty,3,7
2009,NE,BUF,1,25,24,NE,BUF,NE,NE 30,NE,30,70,Q1,2 and 8,11:38,NE,False Start,5,"(NE, NE 30, Q1, 2 and 8) (11:38) PENALTY on NE-D.Koppen, False Start, 5 yards, enforced at NE 30 - No Play.",REG,NE,NE,Offensive Penalty,2,8
2009,NE,BUF,1,25,24,NE,BUF,NE,NE 45,NE,45,55,Q1,1 and 10,9:51,BUF,Defensive Holding,5,"(NE, NE 45, Q1, 1 and 10) (9:51) (Shotgun) T.Brady pass incomplete short left to L.Maroney. PENALTY on BUF-R.Denney, Defensive Holding, 5 yards, enforced at NE 45 - No Play.",REG,NE,Opponent,Defensive Penalty,1,10
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 48,BUF,48,52,Q1,1 and 10,5:34,NE,Encroachment,5,"(BUF, BUF 48, Q1, 1 and 10) (5:34) (No Huddle) PENALTY on NE-V.Wilfork, Encroachment, 5 yards, enforced at BUF 48 - No Play.",REG,Opponent,NE,Defensive Penalty,1,10
2009,NE,BUF,1,25,24,NE,BUF,BUF,NE 43,NE,43,43,Q1,2 and 1,5:03,BUF,False Start,6,"(BUF, NE 43, Q1, 2 and 1) (5:03) (No Huddle) PENALTY on BUF-S.Nelson, False Start, 6 yards, enforced at NE 43 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,1
2009,NE,BUF,1,25,24,NE,BUF,NE,NE 26,NE,26,74,Q1,4 and 16,1:37,BUF,Illegal Blindside Block,10,"(NE, NE 26, Q1, 4 and 16) (1:37) C.Hanson punts 42 yards to BUF 32, Center-J.Ingram. R.Parrish to BUF 37 for 5 yards (J.Wilhite). PENALTY on BUF-D.Schouman, Illegal Blindside Block, 10 yards, enforced at BUF 37.",REG,NE,Opponent,Defensive Penalty,4,16
2009,NE,BUF,1,25,24,NE,BUF,NE,NE 28,NE,28,72,Q2,1 and 10,13:34,NE,Tripping,10,"(NE, NE 28, Q2, 1 and 10) (13:34) NE 72-Light eligible. F.Taylor right end to NE 37 for 9 yards (K.Mitchell, K.Ellison). PENALTY on NE-M.Light, Tripping, 10 yards, enforced at NE 32.",REG,NE,NE,Offensive Penalty,1,10
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 40,BUF,40,60,Q2,2 and 7,4:59,BUF,Illegal Formation,5,"(BUF, BUF 40, Q2, 2 and 7) (4:59) (No Huddle) F.Jackson right end to 50 for 10 yards (D.Butler). PENALTY on BUF-D.Bell, Illegal Formation, 5 yards, enforced at BUF 40 - No Play.",REG,Opponent,Opponent,Offensive Penalty,2,7
2009,NE,BUF,1,25,24,NE,BUF,NE,BUF 35,BUF,35,35,Q2,1 and 10,1:55,NE,False Start,5,"(NE, BUF 35, Q2, 1 and 10) (1:55) (No Huddle, Shotgun) PENALTY on NE-D.Koppen, False Start, 5 yards, enforced at BUF 35 - No Play.",REG,NE,NE,Offensive Penalty,1,10
2009,NE,BUF,1,25,24,NE,BUF,BUF,BUF 21,BUF,21,79,Q3,1 and 10,14:54,BUF,Offensive Holding,10,"(BUF, BUF 21, Q3, 1 and 10) (14:54) F.Jackson left end to BUF 32 for 11 yards (L.Bodden). PENALTY on BUF-S.Nelson, Offensive Holding, 10 yards, enforced at BUF 21 - No Play.",REG,Opponent,Opponent,Offensive Penalty,1,10
